age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_n,education_n,marital-status_n,occupation_n,relationship_n,race_n,sex_n,result_n
40,121772,11,0,0,40,3,8,1,2,0,0,1,1
31,84154,10,0,0,38,3,15,1,11,0,3,1,1
18,226956,9,0,0,30,3,11,3,7,3,3,0,0
32,293936,4,0,0,40,0,5,2,0,1,3,1,0
30,117747,9,0,1573,35,3,11,1,11,5,0,0,0
56,203580,9,0,0,35,3,11,1,1,0,3,1,0
45,153141,9,0,0,40,3,11,1,1,0,3,1,0
39,157443,14,3464,0,40,0,12,1,0,5,0,0,0
34,98101,13,7688,0,45,6,9,1,3,0,3,1,1
42,197583,12,0,0,40,3,7,1,3,0,1,1,1
31,323069,9,0,0,20,3,11,4,1,4,3,0,0
36,271767,13,0,0,40,3,9,4,9,1,3,1,0
43,177937,13,0,0,40,3,9,3,9,1,3,1,1
65,118474,7,9386,0,59,5,1,1,3,0,3,1,1
34,73585,14,0,0,40,3,12,1,9,0,3,1,0
43,146908,10,0,0,40,6,15,1,2,0,3,1,0
33,155781,10,0,0,60,4,15,1,2,0,3,1,0
41,239683,6,0,0,30,3,0,1,2,0,3,1,0
30,201624,13,0,0,45,3,9,3,9,1,1,1,0
66,150726,5,1409,0,1,4,6,1,3,0,3,1,0
60,226355,11,0,2415,70,4,8,1,6,0,3,1,1
24,35633,10,0,0,40,0,15,3,0,1,3,1,0
26,227332,13,0,0,40,3,9,3,13,4,0,1,0
50,75472,9,4386,0,40,3,11,1,2,0,3,1,0
38,22245,14,0,0,72,3,12,1,13,0,3,1,1
30,283767,9,0,0,40,3,11,1,1,0,3,1,0
47,256522,9,0,0,40,3,11,1,5,0,3,1,0
36,153078,13,0,0,60,3,9,1,3,0,0,1,1
40,289403,4,0,1887,40,2,5,1,2,0,1,1,1
62,134768,16,7688,0,40,3,10,1,9,0,3,1,1
41,195124,9,0,0,50,5,11,3,11,1,3,1,0
31,169104,13,0,0,40,3,9,3,11,3,0,1,0
55,98361,14,15024,0,50,3,12,1,9,0,3,1,1
64,168340,9,0,0,40,0,11,1,0,0,3,1,1
47,168191,10,0,0,40,1,15,1,2,0,3,1,0
45,182655,13,0,0,45,3,9,0,7,1,3,1,1
52,185407,9,0,0,40,3,11,1,2,0,3,1,0
29,149943,10,0,1590,40,3,15,3,7,1,2,1,0
19,365640,9,0,0,45,3,11,3,8,1,3,0,0
31,170430,15,0,0,80,3,14,3,9,1,3,0,0
61,115023,14,0,0,4,5,12,1,2,0,3,1,0
35,163392,10,0,0,40,3,15,1,13,0,0,1,0
34,244147,13,0,0,40,3,9,1,9,0,3,1,1
61,192060,13,0,0,30,2,9,4,9,1,3,1,0
47,277545,13,0,0,40,3,9,1,1,0,0,1,1
47,174525,9,3942,0,40,0,11,1,0,0,3,1,0
28,173649,9,0,0,40,3,11,3,7,3,1,0,0
43,57600,16,0,0,40,3,10,2,9,1,3,0,0
34,230246,5,0,0,40,3,6,4,2,1,3,1,0
36,153205,13,0,0,45,3,9,1,9,0,0,1,0
33,180656,10,0,0,40,3,15,2,2,1,3,1,0
28,128509,3,0,0,40,3,4,3,6,1,3,0,0
42,153132,13,0,0,45,3,9,0,11,4,3,1,0
26,225279,10,0,1602,40,3,15,3,9,1,3,1,0
49,133917,16,0,1902,60,6,10,1,9,0,1,1,1
28,192200,13,0,0,40,3,9,1,9,0,3,1,0
55,183869,15,0,0,50,4,14,1,3,0,3,1,1
35,173858,9,0,0,40,3,11,2,2,1,0,1,0
38,53930,6,0,0,40,3,0,3,2,1,1,1,0
61,124971,16,0,0,40,6,10,1,9,0,3,1,1
25,237865,10,0,0,40,0,15,3,0,3,1,1,0
41,173938,15,0,0,50,3,14,1,1,0,3,1,1
53,211654,10,0,0,50,3,15,1,2,0,3,1,1
40,170230,13,0,0,40,3,9,2,7,1,3,0,0
37,325538,9,0,0,60,3,11,3,3,3,3,1,0
56,236731,2,0,0,25,5,3,4,3,1,3,1,0
64,132832,9,20051,0,40,4,11,1,1,5,3,0,1
44,180985,13,0,0,50,3,9,1,9,0,3,1,1
55,198385,4,0,0,20,3,5,5,7,4,3,0,0
42,217826,9,0,0,40,3,11,3,2,3,1,1,0
21,182606,10,0,0,40,3,15,3,7,3,1,1,0
34,127651,6,0,0,44,3,0,3,4,1,3,1,0
21,180303,13,0,0,25,0,9,3,0,1,0,1,0
45,304570,8,0,0,40,3,2,1,6,0,0,1,0
32,169886,13,0,0,20,0,9,3,0,1,3,0,0
22,129934,10,0,0,40,3,15,3,1,1,0,1,0
31,375680,13,0,0,40,3,9,3,9,4,1,0,0
35,124483,13,0,0,50,3,9,3,11,1,0,1,1
20,54152,10,0,0,30,3,15,3,1,3,3,0,0
46,324655,14,0,1902,40,3,12,1,12,0,3,1,1
51,45334,10,0,0,70,1,15,1,10,0,0,1,0
42,183765,12,0,0,40,5,7,1,11,0,3,1,0
